method,delay_scenario,delay_percentage,R0_value,n_obs,mean_rt,median_rt,sd_rt,bias,abs_bias,rmse
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
ABM,true_baseline,0,1.5,64,1.1990493184641173,1.1323566004194159,0.6095015909415654,-0.30095068153588267,0.30095068153588267,0.6754694194546907
