"combination","R0_value","model_type","transition","n_results","status"
"full_R0_1.5_susceptible_to_exposed",1.5,"full","susceptible_to_exposed",34560,"✅ Success"
"full_R0_2_susceptible_to_exposed",2,"full","susceptible_to_exposed",34560,"✅ Success"
"full_R0_3_susceptible_to_exposed",3,"full","susceptible_to_exposed",34505,"✅ Success"
"full_R0_5_susceptible_to_exposed",5,"full","susceptible_to_exposed",30227,"✅ Success"
"full_R0_1.5_exposed_to_infected",1.5,"full","exposed_to_infected",34560,"✅ Success"
"full_R0_2_exposed_to_infected",2,"full","exposed_to_infected",34560,"✅ Success"
"full_R0_3_exposed_to_infected",3,"full","exposed_to_infected",34557,"✅ Success"
"full_R0_5_exposed_to_infected",5,"full","exposed_to_infected",30665,"✅ Success"
"partial_R0_1.5_susceptible_to_exposed",1.5,"partial","susceptible_to_exposed",34553,"✅ Success"
"partial_R0_2_susceptible_to_exposed",2,"partial","susceptible_to_exposed",32120,"✅ Success"
"partial_R0_3_susceptible_to_exposed",3,"partial","susceptible_to_exposed",28100,"✅ Success"
"partial_R0_5_susceptible_to_exposed",5,"partial","susceptible_to_exposed",25051,"✅ Success"
"partial_R0_1.5_exposed_to_infected",1.5,"partial","exposed_to_infected",34556,"✅ Success"
"partial_R0_2_exposed_to_infected",2,"partial","exposed_to_infected",32713,"✅ Success"
"partial_R0_3_exposed_to_infected",3,"partial","exposed_to_infected",28718,"✅ Success"
"partial_R0_5_exposed_to_infected",5,"partial","exposed_to_infected",25739,"✅ Success"
